name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
Lemur-2 Kevin (Lemur 2F51),Lemur 2F51,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,450,455,3.66E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 Kobyszcze (Lemur 2F86),Lemur 2F86,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,476,500,1.75E-03,97.5,95,4,,,11/29/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 KungFoo (Lemur 2F37),Lemur 2F37,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,510,1.02E-03,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 LillyJo (Lemur 2FM107),Lemur 2FM107,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,514,547,2.39E-03,97.5,95.2,4,,,7/5/19,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b
Lemur-2 Lisasaurus (Lemur 2F40),Lemur 2F40,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,508,8.73E-04,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Liu-Poh-Chun (Lemur 2F55),Lemur 2F55,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,451,454,2.20E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 LucyBryce (Lemur 2F36),Lemur 2F36,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Lynsey-Symo (Lemur 2F41),Lemur 2F41,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,508,8.73E-04,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Marshall (Lemur 2F73),Lemur 2F73,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0,494,534,2.91E-03,82.9,94.9,4,,,1/21/18,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron
Lemur-2 McCafferty (Lemur 2F70),Lemur 2F70,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,504,8.01E-04,97.5,94.5,4,,,1/11/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 McCullagh (Lemur 2F56),Lemur 2F56,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,451,454,2.20E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 McPeake (Lemur 2F38),Lemur 2F38,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,510,1.02E-03,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Mia-Grace (Lemur 2F27),Lemur 2F27,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,4,,,2/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL
Lemur-2 Monson (Lemur 2F44),Lemur 2F44,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,585,601,1.15E-03,97.6,96.5,4,,,7/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2 Morag (Lemur 2FM101),Lemur 2FM101,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,516,545,2.10E-03,97.5,95.2,4,,,7/5/19,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b
Lemur-2 NatalieMurray (Lemur 2F94),Lemur 2F94,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,570,585,1.08E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 Nichol (Lemur FM122),Lemur FM122,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,553,568,1.08E-03,97.7,94.5,4,,,9/28/20,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b
