name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
Haiyang 2B (HY 2B),Haiyang 2B,China,China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,949,957,5.46E-04,99.3,104.1,"1,500",,,10/24/18,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B
Haiyang 2C (HY 2C),Haiyang 2C,NR (12/20),China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,930,949,1.30E-03,66,104,"1,500",,,9/21/20,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B
HaloSat,HaloSat,NR,USA,University of Iowa,Government,Space Science,,LEO,Non-Polar Inclined,0,399,407,5.91E-04,51.6,92.6,10,,,7/13/18,,Blue Canyon Technologies,USA,International Space Station,Nanorack Deployer
Hawk-A (HawkEye 360 Pathfinder 1),Hawk-A,NR,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,577,590,9.35E-04,97.7,96.3,15,,,12/3/18,,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9
Hawk-B (HawkEye 360 Pathfinder 2),Hawk-B,NR,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,577,590,9.35E-04,97.7,96.3,15,,,12/3/18,,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9
Hawk-C (HawkEye 360 Pathfinder 3),Hawk-C,NR,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,Sun-Synchronous,0,574,592,1.29E-03,97.7,96.3,15,,,12/3/18,,GomSpace/Unitas SFL,Denmark/Canada,Vandenberg AFB,Falcon 9
HEAD-1 ,HEAD-1,NR,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,796,809,9.06E-04,98.6,100.9,45,,,11/14/17,3,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C
HEAD-2A,HEAD-2A,NR (12/20),China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,495,511,1.16E-03,97.3,94.6,45,,,12/7/19,,HEAD Aerospace,China,Taiyuan Launch Center,Kuaizhou 1A
HEAD-2B,HEAD-2B,NR (12/20),China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,495,511,1.16E-03,97.3,94.6,45,,,12/7/19,,HEAD Aerospace,China,Taiyuan Launch Center,Kuaizhou 1A
HEAD-4,HEAD-4,NR (12/20),China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,487,502,1.09E-03,97.3,94.5,45,,,5/31/20,,HEAD Aerospace,China,Jiuquan Satellite Launch Center,Long March 2D
HEAD-5,HEAD-5,NR (12/20),China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,485,502,1.24E-03,97.3,94.5,45,,,6/17/20,,HEAD Aerospace,China,Jiuquan Satellite Launch Center,Long March 2D
Helios 2A ,Helios 2A,NR,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,683,1.42E-04,98.1,98,"4,200","1,500-1,900","2,900",12/18/04,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G
Helios 2B,Helios 2B,France,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,679,682,2.13E-04,98.1,98.37,"4,200","1,500-1,900","2,900",12/18/09,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
"Hellas-Sat 2 (Intelsat K-TV, NSS K-TV)",HellasSat 2,Greece,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,,GEO,,39.06,"35,769","35,803",4.03E-04,0.01,1436.08,"3,300",,"7,600",5/12/03,15,Astrium,"France, UK, Germany",Cape Canaveral,Atlas 5
Hellas-Sat 3/INMARSAT S EAN,HellasSat 3,NR,Greece/United Kingdom,Hellas-Sat Consortium Ltd./INMARSAT,Commercial,Communications,,GEO,,39,"35,685","35,788",1.22E-03,0,1436.1,"5,780",,,6/28/17,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5
Hellas-Sat 4/SGS-1 (Saudi Geostationary Satellite 1),Hellas-Sat 4,NR,Greece,Hellas-Sat Consortium Ltd.,Commercial/Government,Communications,,GEO,,39,"35,785","35,785",0.00E+00,0.01,1436.1,"6,495",,,2/5/19,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),USA,USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,,LEO,Non-Polar Inclined,0,535,551,1.16E-03,38,95.5,293,,414,2/5/02,3,"Spectrum Astro, Inc.",USA,Cape Canaveral,Pegasus
Hiber-1,Hiber-1,NR,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,,0,476,500,1.75E-03,97.5,95,4,,,11/29/18,,Hiber Global,Netherlands,Satish Dhawan Space Centre,PSLV
Hiber-2,Hiber-2,NR,Netherlands,Hiber Global,Commercial,Technology Development,,LEO,,0,575,591,1.15E-03,97.7,96.3,7,,,12/3/18,,Hiber Global,Netherlands,Vandenberg AFB,Falcon 9
Himawari 8,Himawari 8,Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,,140,"35,774","35,797",2.73E-04,0.08,1436.06,"3,500","1,300","2,600",10/7/14,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
Himawari 9,Himawari 9,Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,,140,"35,788","35,799",1.30E-04,0,1436.1,"3,500","1,300","2,600",11/2/16,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
Hinode (Solar B),Hinode,Japan,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,,LEO,Sun-Synchronous,0,670,696,1.84E-03,98.1,98.4,700,530,"1,000",10/22/06,3,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V
"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Hisaki,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,,Elliptical,,0,952,"1,155",1.37E-02,31,106.27,348,,900,9/14/13,1,NEC Corporation,Japan,Uchinoura Space Center,Epsilon
Hisea-1 (TY-MINISAR-1),Hisea-1,NR (12/20),China,Spacety,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,502,511,6.54E-04,97.4,94.8,180,,,12/22/20,,Spacety,China,Wenchang Space Center,Long March 8
Hispasat 1D ,Hispasat 1D,Spain,Spain,Hispasat,Government/Commercial/Military,Communications,,GEO,,-29.95,"35,764","35,809",5.34E-04,0.02,1436.11,"3,288","1,382","6,200",9/18/02,15,Alcatel Space Industries,France,Cape Canaveral,Atlas 2AS
Hispasat 1E,Hispasat 1E,NR,Spain,Hispasat,Commercial,Communications,,GEO,,-30,"35,782","35,786",4.74E-05,0.07,1435.95,"5,320","2,175","14,000",12/29/10,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
Hispasat 30W-6 (Hispasat 1F),Hispasat 30W-6,NR,Spain,Hispasat,Commercial,Communications,,GEO,,-30,"35,786","35,788",2.37E-05,0,1436.11,"6,100",,,3/6/18,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
Hispasat 36W-1 (Hispasat AG1),Hispasat 36W-1,Spain,Spain,Hispasat,Commercial,Communications,,GEO,,-36.9,"35,783","35,791",9.49E-05,0,1436.1,"3,220","1,700","6,000",1/28/17,15,OHB System-AG,Germany,Guiana Space Center,Soyuz
HJ-1A (Huan Jing 1A),HJ-1A,China,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,628,665,2.64E-03,97.8,97.7,470,,,9/5/08,3,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 2C
HJ-1B (Huan Jing 1B),HJ-1B,China,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,621,673,3.71E-03,97.8,97.7,470,,,9/5/08,3,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 2C
HJ-1C (Huan Jing 1C),HJ-1C,China,China,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,420,438,1.32E-03,97.33,94.53,890,,,11/18/12,3,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 2C
HJ-2A (Huan Jing-2A) ,HJ-2A,NR (12/20),China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,LEO,Sun-Synchronous,0,602,653,3.64E-03,97.9,95,,,,9/27/20,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B
HJ-2B (Huan Jing-2B) ,HJ-2B,NR (12/20),China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,LEO,Sun-Synchronous,0,598,654,4.00E-03,97.9,95,,,,9/27/20,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4B
Hodoyoshi-1 ,Hodoyoshi-1,Japan,Japan,University of Tokyo and NESTRA,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,525,1.38E-03,97.48,94.93,65,,50,11/6/14,,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr
Hodoyoshi-3,Hodoyoshi-3,Japan,Japan,University of Tokyo and NESTRA,Government,Technology Development,,LEO,Sun-Synchronous,0,613,666,3.78E-03,97.98,97.51,60,,50,6/19/14,,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr
Hodoyoshi-4,Hodoyoshi-4,Japan,Japan,University of Tokyo and NESTRA,Government,Technology Development,,LEO,Sun-Synchronous,0,613,650,2.64E-03,97.99,97.35,60,,50,6/19/14,,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr
Hongyan-1 (Chongqing),Hongyan-1,China,China,China Aerospace Science and Technology Corporation (CASC),Government,Communications,,LEO,Non-Polar Inclined,0,"1,090","1,098",5.36E-04,50,107.1,,,,12/29/18,,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Long March 2D
Hongyun-1 (Hongyun Gongcheng JYW),Hongyun-1,NR,China,China Aerospace Science and Industry Corporation (CASIC),Commercial,Technology Development,,LEO,Sun-Synchronous,0,"1,061","1,077",1.08E-03,99.92,106.59,,,,12/21/18,,China Aerospace Science and Industry Corporation (CASIC),China,Jiuquan Satellite Launch Center,Long March 11
Horizons 2,Horizons 2,USA,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,GEO,,85,"35,777","35,796",2.25E-04,0,1436.1,"2,300",,"4,700",12/21/07,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5
Horizons 3e,Horizons 3e,NR,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,GEO,,169,"35,789","35,798",1.07E-04,0,1436.1,"6,500",,,9/25/18,15,Boeing,USA,Guiana Space Center,Ariane 5 ECA
Horyu-2 (High Voltage Technology Demonstration Satellite-2),Horyu-2,Japan,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,0,650,669,1.35E-03,98.2,97.9,7,,,5/17/12,1,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H2A
HSAT-1,HSAT-1,NR,USA,Harris Corporation,Commercial,Communications,,LEO,Sun-Synchronous,0,476,500,1.75E-03,97.4,95,4,,,11/29/18,,Harris Corporation,USA,Satish Dhawan Space Centre,PSLV
Huangpu-1,Huangpu-1,NR (12/20),China,Shanghai Lizheng Satellite Application Technology,Commercial,Communications,,LEO,Sun-Synchronous,0,485,504,1.38E-03,97.5,94.5,50,,,11/3/19,,Shanghai Lizheng Satellite Application Technology,China,Taiyuan Launch Center,Long March 4B
"Hubble Space Telescope (HST, Space Telescope)",Hubble Space Telescope,USA,ESA/USA,European Space Agency (ESA)/NASA,Government,Space Science,,LEO,Non-Polar Inclined,0,555,559,2.89E-04,28.5,95.8,"11,110",,"2,400",4/25/90,10,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31)
Huia'an (Zhou Enlai),Huia'an,China,China,Huaian Youth Comprehensive Development Base,Civil,Technology Development,,LEO,Sun-Synchronous,0,529,547,1.30E-03,97.5,95.4,3,,,1/18/18,,Huaian Youth Comprehensive Development Base,China,Jiuquan Satellite Launch Center,Long March 11
Huskysat-1,Huskysat-1,USA,USA,University of Washington,Civil,Technology Development,,LEO,Non-Polar Inclined,0,459,474,1.10E-03,51.6,93.9,5,,,1/31/20,,University of Washington,USA,Cygnus,Nanoracks Deployer
"HXMT (Hard X-ray Modulation Telescope, Insight)",HXMT,China,China,National Space Science Center (NSSC),Government,Space Science,,LEO,Non-Polar Inclined,0,536,545,6.51E-04,43.02,95.4,"2,500",,,6/15/17,4,National Space Science Center (NSSC),China,Jiuquan Satellite Launch Center,Long March 4B
HYLAS 4 (Highly Adaptable Satellite),HYLAS 4,United Kingdom,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,GEO,,21.27,"35,778","35,795",2.02E-04,0,1436.1,"4,050",,,4/5/18,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5
HYLAS 1 (Highly Adaptable Satellite),HYLAS 1,United Kingdom,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,GEO,,-33.5,"35,770","35,803",3.91E-04,0.01,1436.07,"2,242",,,11/26/10,15,EADS Astrium,France,Guiana Space Center,Ariane 5
HYLAS 2 (Highly Adaptable Satellite),HYLAS 2,United Kingdom,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,GEO,,33.5,"35,775","35,799",2.85E-04,0.06,1436.14,"3,311","1,532",,8/2/12,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
HySIS (Hyperspectral Imaging Satellite),HySIS,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0,647,648,7.13E-05,98,95,380,,,11/29/18,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV
Icesat-2,Icesat-2,USA,USA,National Aeronautics and Space Administration (NASA),Government,Earth Science,Laser Imaging,LEO,Polar,0,455,468,9.51E-04,93.02,93.8,"1,515",,,9/15/18,3,Northrup Grumman Information Systems,USA,Vandenberg AFB,Delta 2
ICEYE-X2 (ICEYE POC 2),ICEYE-X2,Finland,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,570,587,1.22E-03,97.7,96.3,80,,,12/3/18,,ICEYE Ltd.,Finland,Vandenberg AFB,Falcon 9
ICEYE-X3 (ICEYE POC 3),ICEYE-X3,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Radar Imaging,LEO,Non-Polar Inclined,0,498,510,8.73E-04,40.02,94.7,150,,,5/5/19,,York Space Systems,USA,Rocket Lab Launch Complex 1,Electron
ICEYE-X4 (ICEYE POC 4),ICEYE-X4,Finland,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,564,594,2.16E-03,97.7,96.2,80,,,7/5/19,,ICEYE Ltd.,Finland,Vostochny Cosmodrome,Soyuz 2.1b
ICEYE-X5 (ICEYE POC 5),ICEYE-X5,Finland,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,564,590,1.87E-03,97.7,96.2,80,,,7/5/19,,ICEYE Ltd.,Finland,Vostochny Cosmodrome,Soyuz 2.1b
ICEYE-X6 (ICEYE POC 6),ICEYE-X6,Finland,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,549,568,1.37E-03,97.7,95.8,80,,,9/28/20,,ICEYE Ltd.,Finland,Plesetsk Cosmodrome,Soyuz 2.1b
ICEYE-X7 (ICEYE POC 7),ICEYE-X7,Finland,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,549,567,1.30E-03,97.7,95.8,80,,,9/28/20,,ICEYE Ltd.,Finland,Plesetsk Cosmodrome,Soyuz 2.1b
ICON (Ionospheric Connection Explorer) ,ICON,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,Non-Polar Inclined,0,579,601,1.58E-03,27,96.5,288,,,10/11/19,,National Aeronautics and Space Administration (NASA),USA,Stargazer L-1011,Pegasus
"IGS Optical 5 (IGS-9B, Information Gathering Satellite 9B)",IGS Optical 5,NR,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,511,515,2.91E-04,97.5,95.2,"1,600",,,3/26/15,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"IGS Optical 6 (IGS-10B, Information Gathering Satellite 10B)",IGS Optical 6,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,485,499,1.02E-03,97.2,94.5,"1,600",,,2/26/18,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
IGS Optical 7 (IGS-11B Information Gathering Satellite 14),IGS Optical 7,NR (12/20),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,487,493,4.37E-04,97.4,94.4,"1,600",,,2/9/20,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
IGS Radar 5 (Information Gathering Satellite 10A),IGS Radar 5,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,485,499,1.02E-03,97.2,94.5,"1,600",,,3/16/17,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"IGS Radar 6 (Information Gathering Satellite 6, IGS Radar 6)",IGS Radar 6,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,500,500,0.00E+00,97.3,94.6,"1,600",,,6/12/18,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)",IGS-5A,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,484,492,5.83E-04,97.31,94.37,"1,600",,,11/28/09,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A
"IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)",IGS-6A,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,588,591,2.16E-04,97.69,96.47,"1,600",,,9/23/11,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A
"IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)",IGS-7A,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,512,514,1.45E-04,97.46,94.89,"1,600",,,12/12/11,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A
"IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)",IGS-8A,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,509,514,3.63E-04,97.5,94.85,"1,600",,,1/27/13,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"IGS-8B (Information Gathering Satellite 8B, IGS Optical 5 Demonstrator)",IGS-8B,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,512,523,7.99E-04,97.5,94.85,"1,600",,,1/27/13,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"IGS-9A (Information Gathering Satellite 9A, IGS Radar Spare)",IGS-9A,Japan,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,510,510,0.00E+00,97.5,94.85,"1,600",,,1/31/15,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A
"Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184)",USA 184,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,"1,111","37,564",7.09E-01,63,684,"4,000",,,6/28/06,,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4
"Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200)",USA 200,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,"1,112","37,580",7.09E-01,63.56,684,"4,200",,,3/13/08,,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
"Improved Trumpet 6 (NROL-35, National Reconnaissance Office Launch-35, SBIRS HEO-3, USA 259)",USA 259,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,"2,103","37,746",6.78E-01,62.85,707.55,"4,200",,,12/13/14,,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
"Improved Trumpet 7 (NROL-42, National Reconnaissance Office Launch-42, SBIRS HEO-4, USA 278)",USA 278,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,"1,738","38,111",6.92E-01,63.8,707.7,"8,000",,,9/24/17,,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5
INMARSAT 3 F3 ,INMARSAT 3 F3,NR,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,178.2,"35,761","35,810",5.81E-04,0.09,1436.07,"2,074",860,,12/18/96,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas
INMARSAT 3 F5 ,INMARSAT 3 F5,NR,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,25.07,"35,769","35,803",4.03E-04,0.04,1436.07,"2,000",895,"2,800",2/4/98,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
INMARSAT 4 F1,INMARSAT 4 F1,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,63.96,"35,772","35,799",3.20E-04,2.3,1436.08,"5,959",,"13,000",3/11/05,15,EADS Astrium,France/UK/Germany,Cape Canaveral,Atlas 5
INMARSAT 4 F2,INMARSAT 4 F2,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,-52.76,"35,773","35,800",3.20E-04,2.33,1436.11,"5,458",,"13,000",11/8/05,15,EADS Astrium,France/UK/Germany,Sea Launch Odyssey,Zenit 3SL
INMARSAT 4 F3,INMARSAT 4 F3,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,-97.65,"35,775","35,798",2.73E-04,3.01,1436.1,"5,960",,"13,000",8/18/08,15,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M
INMARSAT 5 F1,INMARSAT 5 F1,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,60.3,"35,784","35,790",7.12E-05,0.06,1436.13,"6,070","3,750","13,000",12/8/13,15,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
INMARSAT 5 F2,INMARSAT 5 F2,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,-55,"35,784","35,789",5.93E-05,0.03,1436,"6,105","3,360","13,000",2/1/15,15,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
INMARSAT 5 F3,INMARSAT 5 F3,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,180,"35,780","35,780",0.00E+00,0,1436.1,"6,100",,"15,000",8/28/15,15,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M
INMARSAT 5 F4,INMARSAT 5 F4,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,83.5,"35,782","35,789",8.30E-05,0,1436.08,"6,086",,,5/15/17,15,Boeing Corp.,USA,Cape Canaveral,Falcon 9
INMARSAT 5 F5,INMARSAT 5 F5,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,GEO,,11,"35,672","35,686",1.66E-04,0.08,1430,"4,007",,,11/26/19,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
INMARSAT IV-A F4 (Alphasat I-XL),INMARSAT IV-A F4,United Kingdom,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency (ESA)",Government/Commercial,Communications/Technology Development,,GEO,,25,"35,786","35,787",1.19E-05,0.02,1436.09,"6,650","3,370","12,000",7/25/13,15,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
INNOSat-2 (Innovation Satellite-2),INNOSat-2,NR,Malaysia,Astronautic Technology Sdn. Bhd (ATSB),Government,Technology Development,,LEO,Sun-Synchronous,0,476,500,1.75E-03,97.5,95,4,,,11/29/18,,ATSB,Malaysia,Satish Dhawan Space Centre,PSLV
INS-1A (ISRO Nano Satellite),INS-1A,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,8.73E-04,97.5,94.6,8,,,2/15/17,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL
INS-1B (ISRO Nano Satellite),INS-1B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,8.73E-04,97.5,94.6,8,,,2/15/17,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL
INS-1C (ISRO Nano Satellite),INS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Technology Development,,LEO,Sun-Synchronous,0,495,508,9.46E-04,97.5,94.6,5,,,1/11/18,0.5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV
INSAT 3D (Indian National Satellite),INSAT 3D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,82,"35,782","35,791",1.07E-04,0.24,1436.09,"2,090",,,7/25/13,,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA
INSAT 3DR (Indian National Satellite),INSAT 3DR,NR,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,74,"35,722","35,851",1.53E-03,0.03,1436.1,"2,200",,,9/8/16,10,ISRO Satellite Center,India,Satish Dhawan Space Centre,GSLV Mk.2
